mes,segmento,nome_completo_fonte,valor_ranking,valor_sub_segmento,diferenca,arquivo_origem
2015-05,comerciais_leves,RENAULT/MASTER,658,655,3,2015-05.pdf
2015-06,automoveis,FORD/FOCUS,1369,1364,5,2015-06.pdf
2015-06,automoveis,FIAT/DOBLO,714,709,5,2015-06.pdf
2015-06,comerciais_leves,RENAULT/MASTER,708,705,3,2015-06.pdf
2015-07,automoveis,FORD/FOCUS,1582,1578,4,2015-07.pdf
2015-07,comerciais_leves,RENAULT/MASTER,726,724,2,2015-07.pdf
2015-08,automoveis,FORD/FOCUS,1863,1860,3,2015-08.pdf
2015-08,comerciais_leves,RENAULT/MASTER,594,590,4,2015-08.pdf
2015-09,automoveis,FIAT/DOBLO,674,673,1,2015-09.pdf
2015-09,comerciais_leves,FIAT/STRADA,7116,7114,2,2015-09.pdf
2015-09,comerciais_leves,VW/SAVEIRO,4357,4356,1,2015-09.pdf
2015-09,comerciais_leves,RENAULT/MASTER,590,588,2,2015-09.pdf
2015-10,automoveis,FIAT/DOBLO,791,790,1,2015-10.pdf
2015-10,comerciais_leves,FIAT/STRADA,6052,6050,2,2015-10.pdf
2015-10,comerciais_leves,VW/SAVEIRO,3707,3706,1,2015-10.pdf
2015-10,comerciais_leves,RENAULT/MASTER,485,483,2,2015-10.pdf
2015-11,automoveis,FIAT/DOBLO,762,761,1,2015-11.pdf
2015-12,comerciais_leves,FIAT/STRADA,6865,6864,1,2015-12.pdf
2015-12,comerciais_leves,RENAULT/MASTER,670,668,2,2015-12.pdf
2016-01,automoveis,FIAT/DOBLO,495,490,5,2016-01.pdf
2016-01,comerciais_leves,RENAULT/MASTER,518,517,1,2016-01.pdf
2016-02,automoveis,FIAT/DOBLO,460,459,1,2016-02.pdf
2016-02,comerciais_leves,FIAT/STRADA,4590,4588,2,2016-02.pdf
2016-02,comerciais_leves,RENAULT/MASTER,460,458,2,2016-02.pdf
2016-02,comerciais_leves,FIAT/DUCATO,380,379,1,2016-02.pdf
2016-03,automoveis,FIAT/DOBLO,490,485,5,2016-03.pdf
2016-03,comerciais_leves,RENAULT/MASTER,451,450,1,2016-03.pdf
2016-04,comerciais_leves,FIAT/STRADA,5427,5425,2,2016-04.pdf
